,Season,Team,HomePoints,HF,HS,HY,HR,HST,HC,FTHG,HomeConceded,AwayPoints,AF,AS,AY,AR,AST,AC,FTAG,AwayConceded,TotalPoints,TotalFouls,TotalYellowCards,TotalRedCards,TotalBookings,TotalShots,TotalShotsOnTarget,GoalsFor,GoalsAllowed,GoalDifferential,rank
0,1993-1994,Middlesbrough,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
263,2005-2006,Wigan,24,234.0,253.0,27.0,3.0,122.0,95.0,24.0,26.0,27,259.0,180.0,27.0,1.0,85.0,74.0,21.0,26.0,51,493.0,54.0,4.0,58.0,433.0,207.0,45.0,52.0,-7.0,10
283,2006-2007,Wigan,19,213.0,238.0,29.0,0.0,110.0,98.0,18.0,30.0,19,264.0,180.0,47.0,3.0,95.0,79.0,19.0,29.0,38,477.0,76.0,3.0,79.0,418.0,205.0,37.0,59.0,-22.0,17
303,2007-2008,Wigan,29,230.0,205.0,30.0,2.0,99.0,104.0,21.0,17.0,11,245.0,193.0,31.0,2.0,93.0,81.0,13.0,34.0,40,475.0,61.0,4.0,65.0,398.0,192.0,34.0,51.0,-17.0,14
323,2008-2009,Wigan,29,215.0,262.0,26.0,2.0,121.0,120.0,17.0,18.0,16,224.0,221.0,35.0,2.0,106.0,96.0,17.0,27.0,45,439.0,61.0,4.0,65.0,483.0,227.0,34.0,45.0,-11.0,11
342,2009-2010,Wigan,25,240.0,281.0,27.0,0.0,147.0,108.0,19.0,24.0,11,242.0,217.0,37.0,3.0,119.0,76.0,18.0,55.0,36,482.0,64.0,3.0,67.0,498.0,266.0,37.0,79.0,-42.0,16
362,2010-2011,Wigan,23,225.0,257.0,27.0,1.0,141.0,95.0,22.0,34.0,19,236.0,193.0,41.0,3.0,112.0,74.0,18.0,27.0,42,461.0,68.0,4.0,72.0,450.0,253.0,40.0,61.0,-21.0,16
382,2011-2012,Wigan,22,235.0,250.0,35.0,1.0,147.0,135.0,22.0,27.0,21,212.0,206.0,33.0,2.0,111.0,74.0,20.0,35.0,43,447.0,68.0,3.0,71.0,456.0,258.0,42.0,62.0,-20.0,15
403,2012-2013,Wigan,18,212.0,240.0,28.0,0.0,137.0,115.0,26.0,39.0,18,204.0,212.0,38.0,2.0,120.0,84.0,21.0,34.0,36,416.0,66.0,2.0,68.0,452.0,257.0,47.0,73.0,-26.0,18
0,2014-2015,Wigan,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,2013-2014,Wigan,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,2004-2005,Wigan,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,2003-2004,Wigan,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,2002-2003,Wigan,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,2001-2002,Wigan,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,2000-2001,Wigan,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,1999-2000,Wigan,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,1998-1999,Wigan,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,1997-1998,Wigan,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,1996-1997,Wigan,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,1995-1996,Wigan,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,1994-1995,Wigan,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
